t,x,y,z,yaw_vslam,yaw_vslam_int,yaw_imu,imu_age,yaw_fused,gz,yaw_gyro,imu_gated,marker
1787037479.587,0.0000,0.0000,0.0000,10.029,9.774,9.787,0.019,9.896,0.225,1.521,0,
1787037479.620,0.0000,0.0000,0.0000,10.030,9.775,9.787,0.052,9.897,0.225,1.521,0,
1787037479.653,0.0000,0.0000,0.0000,10.030,9.775,9.750,0.018,9.897,0.317,1.539,0,
1787037479.686,0.0000,0.0000,0.0000,10.029,9.775,9.750,0.051,9.896,0.317,1.539,0,
1787037479.719,0.0000,0.0000,0.0000,10.028,9.773,9.772,0.018,9.894,0.350,1.562,0,
1787037479.752,0.0000,0.0000,0.0000,10.025,9.771,9.772,0.051,9.891,0.350,1.562,0,
1787037479.786,0.0000,0.0000,0.0000,10.022,9.768,9.847,0.017,9.888,0.305,1.583,0,
1787037479.819,0.0000,0.0000,0.0000,10.019,9.764,9.847,0.050,9.884,0.305,1.583,0,
1787037479.852,0.0000,0.0000,0.0000,10.015,9.760,9.958,0.016,9.880,0.206,1.601,0,
1787037479.885,0.0000,0.0000,0.0000,10.010,9.756,9.958,0.049,9.876,0.206,1.601,0,
1787037479.918,0.0000,0.0000,0.0000,10.005,9.751,10.078,0.016,9.872,0.104,1.611,0,
1787037479.951,0.0000,0.0000,0.0000,10.001,9.746,10.078,0.049,9.868,0.104,1.611,0,
1787037479.984,0.0000,0.0000,0.0000,9.996,9.741,10.180,0.015,9.863,0.052,1.616,0,
1787037480.016,0.0000,0.0000,0.0000,9.991,9.736,10.180,0.048,9.860,0.052,1.616,0,
1787037480.049,0.0000,0.0000,0.0000,9.986,9.732,10.240,0.014,9.856,0.076,1.620,0,
1787037480.082,0.0000,0.0000,0.0000,9.982,9.727,10.240,0.047,9.853,0.076,1.620,0,
1787037480.115,0.0000,0.0000,0.0000,9.978,9.724,10.245,0.013,9.850,0.164,1.628,0,
1787037480.148,0.0000,0.0000,0.0000,9.975,9.721,10.245,0.046,9.848,0.164,1.628,0,
1787037480.181,0.0000,0.0000,0.0000,9.973,9.718,10.192,0.012,9.847,0.271,1.643,0,
1787037480.214,0.0000,0.0000,0.0000,9.971,9.717,10.192,0.045,9.846,0.271,1.643,0,
1787037480.247,0.0000,0.0000,0.0000,9.970,9.716,10.094,0.011,9.846,0.341,1.663,0,
1787037480.280,0.0000,0.0000,0.0000,9.970,9.716,10.094,0.044,9.846,0.341,1.663,0,
1787037480.313,0.0000,0.0000,0.0000,9.971,9.716,9.975,0.011,9.847,0.339,1.686,0,
1787037480.346,0.0000,0.0000,0.0000,9.972,9.718,9.975,0.044,9.849,0.339,1.686,0,
1787037480.379,0.0000,0.0000,0.0000,9.975,9.720,9.861,0.010,9.852,0.265,1.706,0,
1787037480.412,0.0000,0.0000,0.0000,9.977,9.723,9.861,0.043,9.855,0.265,1.706,0,
1787037480.445,0.0000,0.0000,0.0000,9.981,9.726,9.780,0.009,9.858,0.158,1.720,0,
1787037480.478,0.0000,0.0000,0.0000,9.985,9.731,9.780,0.042,9.862,0.158,1.720,0,
1787037480.511,0.0000,0.0000,0.0000,9.990,9.735,9.750,0.008,9.866,0.072,1.728,0,
1787037480.544,0.0000,0.0000,0.0000,9.994,9.740,9.750,0.041,9.870,0.072,1.728,0,
1787037480.577,0.0000,0.0000,0.0000,9.999,9.745,9.778,0.007,9.875,0.053,1.732,0,
1787037480.610,0.0000,0.0000,0.0000,10.004,9.750,9.778,0.041,9.880,0.053,1.732,0,
